city,nb_offres,median_salary
44 - Nantes,40,22500.0
75 - Paris,32,17500.0
31 - Toulouse,29,18750.0
69 - Lyon 1er Arrondissement,29,5200.0
33 - Bordeaux,27,20000.0
37 - Tours,27,
75 - Paris 1er Arrondissement,26,25000.0
67 - Strasbourg,25,17500.0
92 - Nanterre,23,
Luxembourg,18,
35 - Rennes,16,20000.0
34 - Montpellier,15,
13 - Aix-en-Provence,14,17500.0
75 - Paris 9e Arrondissement,14,22500.0
79 - Niort,14,17500.0
92 - Boulogne-Billancourt,13,15000.0
76 - Rouen,11,20000.0
92 - Courbevoie,11,27500.0
45 - Orléans,10,
59 - Lezennes,10,
