year,week,nb_offres,median_salary
2025,6,1,
2025,24,2,
2025,26,1,
2025,34,1,
2025,38,1,
2025,39,3,21250.0
2025,41,3,21000.0
2025,42,2,22500.0
2025,43,1,21000.0
2025,44,2,27500.0
2025,45,1,
2025,46,5,12300.0
2025,47,3,
2025,48,3,
2025,49,4,11875.0
2025,50,6,
2025,51,2,15000.0
2025,52,8,25000.0
2026,1,4,20500.0
2026,2,2,
2026,3,6,22500.0
2026,4,12,14000.0
2026,5,11,15000.0
2026,6,29,913.0
2026,7,27,8025.0
2026,8,58,20000.0
2026,9,54,20000.0
2026,10,175,19250.0
2026,11,194,19000.0
2026,12,350,20000.0
2026,13,104,18250.0
